id	x	y	u	SOURCE_ID
21	216.8353	-235.16602	15.713	5309183145338379648
29	183.4594	-118.22892	20.177	5309186203355103872
34	176.8294	176.72746	20.471	5309188127500492416
41	163.34511	-21.29342	18.245	5309187886982295936
42	162.59435	83.6475	15.901	5309187990061394560
70	89.97873	-32.28314	15.537	5309186443873146496
71	88.66165	94.58169	20.092	5309188711615893632
74	83.5351	64.66864	18.374	5309188711615889792
81	69.11572	-28.09601	17.13	5309186443873144576
86	55.40894	103.56173	17.138	5309188780335368448
88	52.86499	-43.85737	18.47	5309186443873139840
91	48.51693	-51.27189	16.903	5309186340793922944
93	43.72639	-58.54241	20.088	5309186340793920512
94	41.06959	21.59435	17.969	5309187199787392640
97	38.20311	36.24711	16.813	5309187199787394304
99	35.15957	18.49986	17.714	5309187199787390720
111	12.70482	19.69146	15.567	5309187268506864128
114	8.10976	124.4158	16.259	5309187509025045888
115	3.03616	-121.06804	17.468	5309187062348418560
117	0.37976	-26.28	18.831	5309187096708164096
123	-12.71355	-125.42456	20.43	5309186684391295232
125	-22.37477	47.44632	16.459	5309187268506863616
128	-32.71292	-71.17559	18.895	5309187131068022400
132	-53.88128	83.36629	16.429	5309187474665294592
143	-75.30593	72.62902	16.394	5309187435993764736
156	-93.8519	189.0066	18.398	5309199294416519808
170	-130.30773	6.31511	18.338	5309187027988680448
180	-173.79801	-49.70926	19.822	5309186989314055424
183	-181.92724	129.88527	19.396	5309199225697033472
198	-276.32461	79.34037	18.806	5309199019538641536
227	254.29177	-39.24075	19.231	5309187646464135296
246	213.29732	-175.22075	18.88	5309186100276010752
250	203.52508	-293.1794	18.9	5309183007899417600
276	143.96564	-185.54163	18.924	5309186065916138496
278	144.30017	-101.19385	18.852	5309186168995364096
282	133.91927	-84.33615	20.491	5309186370838753280
287	125.23212	-157.51666	19.844	5309186065916139648
289	116.86947	-311.23015	18.279	5309185584879782144
296	110.00334	87.0795	20.413	5309188711615895040
308	87.41552	-14.13761	18.91	5309186478233012736
309	83.00154	-286.65534	16.769	5309185653599257984
315	78.30549	35.58346	20.858	5309187234147137024
322	64.45132	-129.93795	17.607	5309186237714828672
327	61.71161	-25.32076	17.088	5309186443873143424
328	61.25878	2.25543	19.056	5309187199787392384
337	49.00488	21.44796	17.418	5309187199787593600
338	48.21904	6.07621	18.297	5309187199787516416
347	29.81027	74.40903	18.378	5309187302866612992
351	25.25761	-130.25016	18.063	5309186306434300672
354	25.44747	-5.97817	16.57	5309187199787385344
355	23.22596	-179.46186	18.451	5309185928477171584
360	18.40921	-100.90914	18.039	5309186306434176640
362	14.30503	-19.15269	18.193	5309187096708167296
363	13.18635	-24.04858	19.371	5309187096708165632
381	-22.91004	-40.75376	16.7	5309187131047234304
386	-29.78844	176.68508	20.522	5309187573438285184
396	-40.35687	39.48655	18.276	5309187371586203008
404	-56.3182	50.92938	18.9	5309187371586074880
408	-63.29076	66.65859	19.758	5309187367273727104
418	-71.99357	33.42664	17.648	5309187371586070400
421	-81.4012	-54.52622	18.084	5309186959269326976
423	-84.38396	109.88418	18.271	5309187440305556352
424	-86.27534	-52.00895	17.944	5309186959269202432
427	-88.0263	163.01811	16.003	5309199294416518144
439	-101.06222	134.78584	20.381	5309199294416514944
445	-109.70518	54.8597	20.266	5309187401631024384
449	-118.03366	149.42542	20.004	5309199191337299712
451	-124.34224	-61.82784	19.674	5309186924909460992
493	-206.82173	95.07682	19.54	5309198847739907840
499	-217.85464	116.98518	19.533	5309198847739908864
502	-228.7883	16.92465	19.206	5309198813380162432
532	157.66777	216.96097	18.908	5309188883414741248
535	123.13861	218.14539	19.224	5309188917774339328
555	8.96965	24.69573	17.719	5309187268506864896
565	-28.70518	36.68124	18.627	5309187165427646208
568	-41.31516	-82.33773	19.52	5309186753110772992
570	-63.63476	-363.25399	17.46	5308810376538445696
584	-136.54744	-70.08252	20.572	5309186924909459328
614	70.48304	8.04736	18.103	5309187234147132928
618	-2.15226	-6.84002	18.076	5309187165427643136
619	-13.84775	55.22336	18.589	5309187268506866432
638	108.11708	48.09285	20.237	5309187955701646592
657	225.60415	186.34584	16.491	5309188505457485184
