B-V	U-B	BP-RP	U-BP
1.281	1.465	1.685	2.503
1.274	1.465	1.672	2.496
1.252	1.463	1.628	2.476
1.224	1.438	1.58	2.427
1.212	1.427	1.559	2.405
1.176	1.366	1.499	2.312
1.158	1.335	1.472	2.265
1.116	1.239	1.413	2.128
1.085	1.17	1.373	2.029
1.041	1.069	1.315	1.885
1.005	0.983	1.269	1.763
0.985	0.94	1.244	1.701
0.924	0.791	1.165	1.493
0.923	0.789	1.163	1.491
0.868	0.65	1.094	1.301
0.844	0.59	1.064	1.22
0.805	0.493	1.016	1.09
0.765	0.407	0.969	0.971
0.762	0.402	0.966	0.963
0.75	0.369	0.951	0.921
0.705	0.268	0.898	0.784
0.674	0.21	0.863	0.702
0.663	0.19	0.85	0.674
0.622	0.129	0.804	0.583
0.58	0.077	0.758	0.501
0.577	0.071	0.754	0.492
0.56	0.054	0.735	0.463
0.497	0.003	0.667	0.367
0.482	-0.007	0.65	0.346
0.479	-0.009	0.646	0.342
0.456	-0.022	0.62	0.313
0.431	-0.032	0.59	0.285
0.427	-0.034	0.584	0.28
0.425	-0.034	0.582	0.279
0.418	-0.038	0.574	0.27
0.417	-0.042	0.572	0.265
0.415	-0.043	0.57	0.263
0.413	-0.045	0.567	0.26
0.411	-0.045	0.565	0.258
0.402	-0.046	0.553	0.251
0.395	-0.044	0.546	0.248
0.369	-0.04	0.51	0.233
0.358	-0.037	0.496	0.228
0.318	-0.026	0.439	0.21
0.305	-0.021	0.42	0.205
0.263	-0.003	0.355	0.193
0.252	0.002	0.336	0.19
0.223	0.015	0.29	0.182
0.204	0.024	0.262	0.178
0.194	0.027	0.246	0.174
0.166	0.036	0.205	0.164
0.146	0.04	0.174	0.155
0.136	0.042	0.16	0.151
0.109	0.041	0.122	0.133
0.086	0.03	0.09	0.108
0.065	0.015	0.062	0.082
0.047	-0.003	0.039	0.054
0.032	-0.022	0.018	0.027
0.018	-0.042	0	1E-3
0.006	-0.063	-0.016	-0.026
-0.006	-0.084	-0.03	-0.053
-0.016	-0.106	-0.043	-0.079
-0.025	-0.128	-0.055	-0.104
-0.033	-0.149	-0.065	-0.129
-0.047	-0.19	-0.084	-0.174
-0.067	-0.267	-0.114	-0.256
-0.082	-0.335	-0.139	-0.326
-0.094	-0.394	-0.158	-0.387
-0.104	-0.444	-0.176	-0.437
-0.109	-0.467	-0.185	-0.46
-0.113	-0.487	-0.192	-0.481
-0.121	-0.525	-0.207	-0.519
-0.129	-0.558	-0.22	-0.553
-0.135	-0.587	-0.233	-0.582
-0.14	-0.604	-0.24	-0.6
-0.142	-0.613	-0.244	-0.609
-0.148	-0.638	-0.256	-0.634
-0.153	-0.659	-0.267	-0.655
-0.154	-0.659	-0.266	-0.656
-0.159	-0.68	-0.277	-0.677
-0.165	-0.698	-0.286	-0.696
-0.166	-0.703	-0.289	-0.701
-0.169	-0.716	-0.295	-0.714
-0.174	-0.732	-0.303	-0.731
-0.175	-0.738	-0.307	-0.736
-0.178	-0.748	-0.311	-0.747
-0.18	-0.757	-0.316	-0.756
-0.182	-0.762	-0.32	-0.761
-0.185	-0.773	-0.326	-0.772
-0.186	-0.777	-0.327	-0.777
-0.19	-0.79	-0.334	-0.79
-0.19	-0.791	-0.334	-0.791
-0.193	-0.803	-0.341	-0.803
-0.199	-0.825	-0.354	-0.825
-0.202	-0.837	-0.36	-0.837
-0.205	-0.849	-0.366	-0.849
-0.209	-0.867	-0.376	-0.866
-0.213	-0.885	-0.384	-0.884
-0.214	-0.886	-0.385	-0.885
-0.216	-0.892	-0.388	-0.891
-0.219	-0.905	-0.395	-0.904
-0.221	-0.916	-0.4	-0.915
-0.222	-0.923	-0.403	-0.921
-0.224	-0.929	-0.406	-0.927
-0.226	-0.937	-0.409	-0.935
-0.227	-0.944	-0.412	-0.941
-0.228	-0.95	-0.414	-0.947
-0.227	-0.951	-0.414	-0.948
-0.229	-0.954	-0.416	-0.951
-0.23	-0.959	-0.417	-0.956
-0.23	-0.962	-0.417	-0.958
-0.23	-0.963	-0.417	-0.959
-0.229	-0.964	-0.416	-0.96
-0.228	-0.962	-0.413	-0.957
-0.227	-0.957	-0.409	-0.952
-0.224	-0.952	-0.405	-0.947
-0.224	-0.947	-0.402	-0.942
-0.221	-0.938	-0.395	-0.933
-0.217	-0.93	-0.388	-0.924
-0.213	-0.921	-0.38	-0.915
-0.212	-0.915	-0.375	-0.909
-0.213	-0.922	-0.379	-0.916
-0.216	-0.94	-0.388	-0.933
-0.22	-0.954	-0.397	-0.946
-0.224	-0.97	-0.406	-0.962
-0.228	-0.982	-0.414	-0.974
-0.232	-0.991	-0.42	-0.984
