ra,dec,u
146.23478,-54.135,18.364
146.23275,-54.13237,19.088
146.22947,-54.11631,20.435
146.22771,-54.13752,20.318
146.22661,-54.11737,16.459
146.21704,-54.09449,20.346
146.21494,-54.11093,18.068
146.21216,-54.16325,20.348
146.20965,-54.16849,20.587
146.20634,-54.13971,18.348
146.20645,-54.10064,16.444
146.20405,-54.12291,20.308
146.2027,-54.11371,20.318
146.19953,-54.14205,19.659
146.19405,-54.16989,19.103
146.19349,-54.11524,20.503
146.19146,-54.15122,20.183
146.19012,-54.15838,19.056
146.18849,-54.19205,18.125
146.18447,-54.1084,18.793
146.18302,-54.18068,15.713
146.18258,-54.10895,18.531
146.17818,-54.12446,16.783
146.17599,-54.14431,18.279
146.17607,-54.10493,20.171
146.17104,-54.15738,20.123
146.1687,-54.08134,19.26
146.16731,-54.14083,17.758
146.16711,-54.14821,20.177
146.16474,-54.19456,18.999
146.1636,-54.16894,17.574
146.16317,-54.18406,19.509
146.16306,-54.14416,20.361
146.1638,-54.06628,20.471
146.16196,-54.15869,19.002
146.16092,-54.1499,19.136
146.16013,-54.18743,16.714
146.1614,-54.07867,20.71
146.15854,-54.1019,19.085
146.15822,-54.11411,18.884
146.15752,-54.12129,18.245
146.15711,-54.09214,15.901
146.15645,-54.08793,19.68
146.15456,-54.09649,19.276
146.1546,-54.07257,20.461
146.15365,-54.10874,20.23
146.15257,-54.16054,18.215
146.15277,-54.08095,16.387
146.15117,-54.16528,19.296
146.15104,-54.08779,20.04
146.14598,-54.15456,16.803
146.14426,-54.2109,20.35
146.14554,-54.09526,20.708
146.14516,-54.11699,18.608
146.14351,-54.19894,20.033
146.14165,-54.19602,14.913
146.1406,-54.13374,20.144
146.13999,-54.17022,15.29
146.13952,-54.14566,18.912
146.13905,-54.10651,15.061
146.13662,-54.10246,19.3
146.1338,-54.19291,19.061
146.13439,-54.08784,19.278
146.13248,-54.18751,20.406
146.13273,-54.05403,20.485
146.12913,-54.06704,18.909
146.12362,-54.17526,19.624
146.12451,-54.05558,20.245
146.12317,-54.09713,15.009
146.12275,-54.12436,15.537
146.12209,-54.08912,20.092
146.1204,-54.05287,19.723
146.11852,-54.17875,20.249
146.11967,-54.09743,18.374
146.11875,-54.07766,18.134
146.1175,-54.15074,16.281
146.11657,-54.11772,20.433
146.11497,-54.08606,17.638
146.11498,-54.04814,20.443
146.11336,-54.11792,17.845
146.11286,-54.1232,17.13
146.10924,-54.13152,20.538
146.10592,-54.21184,20.251
146.10615,-54.1651,16.814
146.10723,-54.06447,18.013
146.10634,-54.08663,17.138
146.10541,-54.11719,19.147
146.10516,-54.12758,18.47
146.1059,-54.07581,19.639
146.10372,-54.1004,17.969
146.1031,-54.12964,16.903
146.10353,-54.07997,20.229
146.10083,-54.13166,20.088
146.09956,-54.1094,17.969
146.09975,-54.05429,17.494
146.09854,-54.11304,19.876
146.0982,-54.10533,16.813
146.09699,-54.11954,19.165
146.09676,-54.11026,17.714
146.09711,-54.04861,20.026
146.0944,-54.16462,18.827
146.09232,-54.19871,19.983
146.09267,-54.08186,17.312
146.09166,-54.14654,19.208
146.09131,-54.05963,19.72
146.09019,-54.13431,18.338
146.08867,-54.16187,20.434
146.08683,-54.14721,20.637
146.08533,-54.20645,15.835
