BP-RP	U-BP	U-RP	U-G
-0.0043	-0.5676	-0.5719	-0.5829
-0.0383	-0.1974	-0.2357	-0.2053
0.0593	0.0105	0.0698	0.0278
0.0147	-0.1286	-0.1139	-0.1199
-0.0241	-0.1243	-0.1484	-0.1275
0.6831	0.3113	0.9944	0.5741
0.6264	0.2981	0.9245	0.5347
0.4365	0.4851	0.9216	0.644
0.4258	0.2807	0.7065	0.4414
0.3475	0.2799	0.6274	0.4032
0.0823	0.0765	0.1588	0.1071
0.3672	0.2795	0.6467	0.4208
0.3759	0.2488	0.6247	0.3835
0.2644	0.2628	0.5272	0.3577
0.1156	0.1273	0.2429	0.1733
0.0083	-0.1113	-0.103	-0.1019
1.6366	3.0262	4.6628	3.8324
0.5164	0.2647	0.7811	0.4554
0.6279	0.3237	0.9516	0.5606
-0.0365	-0.1432	-0.1797	-0.1506
1.6495	2.8509	4.5004	3.659
0.1034	0.1565	0.2599	0.1943
1.234	1.615	2.849	2.1728
0.1514	0.2133	0.3647	0.2641
0.0187	-0.1557	-0.137	-0.1431
0.515	0.2583	0.7733	0.4527
0.2937	0.2445	0.5382	0.3497
0.3222	0.2647	0.5869	0.3823
0.6173	0.3573	0.9746	0.5914
0.5721	0.1555	0.7276	0.3708
0.5974	0.2214	0.8188	0.4479
0.0084	-0.0068	0.0016	-0.002
0.2882	0.2598	0.548	0.368
0.2946	0.2564	0.551	0.36
0.2569	0.2606	0.5175	0.2549
0.1227	0.1573	0.28	0.2043
-0.0528	-0.2311	-0.2839	-0.2442
1.3167	1.6188	2.9355	2.2256
0.1345	0.1857	0.3202	0.2338
0.1241	0.1383	0.2624	0.1911
-0.0441	-0.2045	-0.2486	-0.2138
1.2291	1.7533	2.9824	2.3099
0.706	0.457	1.163	0.744
0.0297	0.0729	0.1026	0.0846
0.2181	0.2116	0.4297	0.2936
-0.03	-0.0911	-0.1211	-0.0983
0.355	0.2479	0.6029	0.3737
0.1753	0.2125	0.3878	0.2755
0.3199	0.2569	0.5768	0.3806
-0.0306	-0.1874	-0.218	-0.1926
0.1228	0.0843	0.2071	0.1284
-0.0522	-0.248	-0.3002	-0.2601
0.8323	0.4083	1.2406	0.7345
0.5615	0.2535	0.815	0.4632
0.0328	0.0369	0.0697	0.0517
0.1592	0.1509	0.3101	0.2105
-0.025	-0.1757	-0.2007	-0.1797
0.3695	0.2634	0.6329	0.3966
1.8679	3.3076	5.1755	4.2519
1.3507	2.2458	3.5965	2.882
0.1057	0.1508	0.2565	0.192
1.3494	2.02	3.3694	2.6464
0.3162	0.2438	0.56	0.3633
0.1616	0.1773	0.3389	0.2417
0.1588	0.217	0.3758	0.275
-0.0403	-0.2234	-0.2637	-0.229
0.279	0.2952	0.5742	0.4
1.5431	2.5694	4.1125	3.3144
0.8937	0.7835	1.6772	1.1635
1.1662	1.1724	2.3386	1.6915
0.7327	0.4165	1.1492	0.7146
0.106	0.147	0.253	0.1849
1.3309	1.5203	2.8512	2.139
0.0432	0.0431	0.0863	0.0603
0.1379	-0.011	0.1269	0.0387
1.2692	1.8803	3.1495	2.4655
0.0312	-0.0688	-0.0376	-0.0544
0.9088	0.5958	1.5046	0.9854
-0.0385	-0.271	-0.3095	-0.2784
0.0264	-0.1087	-0.0823	-0.096
-0.0113	-0.1686	-0.1799	-0.1672
-0.0598	-0.3076	-0.3674	-0.3233
1.2578	1.899	3.1568	2.4781
-0.0253	-0.215	-0.2403	-0.219
-0.2212	-0.7139	-0.9351	-0.7875
