BP-RP	U-G	U-RP
4.099	5.499	6.956
4.099	5.5	6.957
4.102	5.51	6.967
4.102	5.515	6.972
4.032	5.43	6.876
3.826	5.164	6.577
3.673	4.954	6.341
3.588	4.842	6.215
3.522	4.756	6.118
3.447	4.672	6.019
3.372	4.586	5.92
3.285	4.485	5.803
3.2	4.386	5.688
3.129	4.311	5.598
3.022	4.208	5.472
2.952	4.151	5.4
2.847	4.048	5.274
2.839	4.041	5.265
2.772	3.975	5.183
2.738	3.943	5.143
2.645	3.863	5.04
2.563	3.805	4.96
2.555	3.8	4.953
2.551	3.798	4.95
2.505	3.768	4.907
2.471	3.747	4.877
2.438	3.727	4.848
2.39	3.699	4.806
2.383	3.695	4.8
2.312	3.66	4.744
2.299	3.654	4.734
2.201	3.616	4.665
2.183	3.609	4.653
1.685	3.324	4.188
1.672	3.309	4.168
1.628	3.262	4.104
1.58	3.184	4.007
1.559	3.15	3.964
1.499	3.022	3.811
1.472	2.959	3.737
1.413	2.787	3.541
1.373	2.665	3.402
1.315	2.488	3.2
1.269	2.341	3.032
1.244	2.265	2.945
1.165	2.014	2.658
1.163	2.01	2.654
1.094	1.784	2.395
1.064	1.687	2.284
1.016	1.531	2.106
0.969	1.388	1.94
0.966	1.378	1.929
0.951	1.328	1.872
0.898	1.163	1.682
0.863	1.064	1.565
0.85	1.029	1.524
0.804	0.915	1.387
0.758	0.81	1.259
0.754	0.799	1.246
0.735	0.761	1.198
0.667	0.632	1.034
0.65	0.603	0.996
0.646	0.597	0.988
0.62	0.556	0.933
0.59	0.515	0.875
0.584	0.507	0.864
0.582	0.505	0.861
0.574	0.493	0.844
0.572	0.487	0.837
0.57	0.484	0.833
0.567	0.48	0.827
0.565	0.476	0.823
0.553	0.464	0.804
0.546	0.458	0.794
0.51	0.428	0.743
0.496	0.417	0.724
0.439	0.376	0.649
0.42	0.364	0.625
0.355	0.326	0.548
0.336	0.316	0.526
0.29	0.291	0.472
0.262	0.276	0.44
0.246	0.267	0.42
0.205	0.241	0.369
0.174	0.221	0.329
0.16	0.212	0.311
0.122	0.18	0.255
0.09	0.143	0.198
0.062	0.106	0.144
0.039	0.07	0.093
0.018	0.035	0.045
0	1E-3	1E-3
-0.016	-0.032	-0.042
-0.03	-0.064	-0.083
-0.043	-0.096	-0.122
-0.055	-0.126	-0.159
-0.065	-0.155	-0.194
-0.084	-0.208	-0.258
-0.114	-0.303	-0.37
-0.139	-0.384	-0.465
-0.158	-0.453	-0.545
-0.176	-0.511	-0.613
-0.185	-0.538	-0.645
-0.192	-0.562	-0.673
-0.207	-0.607	-0.726
-0.22	-0.647	-0.773
-0.233	-0.681	-0.815
-0.24	-0.703	-0.84
-0.244	-0.713	-0.853
-0.256	-0.743	-0.89
-0.267	-0.769	-0.922
-0.266	-0.77	-0.922
-0.277	-0.795	-0.954
-0.286	-0.818	-0.982
-0.289	-0.824	-0.99
-0.295	-0.84	-1.009
-0.303	-0.86	-1.034
-0.307	-0.867	-1.043
-0.311	-0.88	-1.058
-0.316	-0.89	-1.072
-0.32	-0.898	-1.081
-0.326	-0.911	-1.098
-0.327	-0.916	-1.104
-0.334	-0.932	-1.124
-0.334	-0.933	-1.125
-0.341	-0.948	-1.144
-0.354	-0.975	-1.179
-0.36	-0.99	-1.197
-0.366	-1.005	-1.215
-0.376	-1.026	-1.242
-0.384	-1.047	-1.268
-0.385	-1.049	-1.27
-0.388	-1.056	-1.279
-0.395	-1.072	-1.299
-0.4	-1.085	-1.315
-0.403	-1.093	-1.324
-0.406	-1.1	-1.333
-0.409	-1.109	-1.344
-0.412	-1.117	-1.353
-0.414	-1.124	-1.361
-0.414	-1.125	-1.362
-0.416	-1.129	-1.367
-0.417	-1.134	-1.373
-0.417	-1.137	-1.375
-0.417	-1.138	-1.376
-0.416	-1.138	-1.376
-0.413	-1.135	-1.37
-0.409	-1.129	-1.361
-0.405	-1.122	-1.352
-0.402	-1.116	-1.344
-0.395	-1.104	-1.328
-0.388	-1.093	-1.312
-0.38	-1.08	-1.295
-0.375	-1.073	-1.284
-0.379	-1.081	-1.295
-0.388	-1.102	-1.321
-0.397	-1.119	-1.343
-0.406	-1.139	-1.368
-0.414	-1.154	-1.388
-0.42	-1.166	-1.404
